170217 190405.016|CONFIG|Thread-3|setFileHandlers|Now logging to /home/pc-65304/桌面/acm-day-2/pc2/bin/logs directory.
170217 191537.315|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 QUEUED_FOR_COMPUTER_JUDGEMENT 3 min 232567ms from TEAM26 @ site 1 id Run-5361890250551848303 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191537.802|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #312 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191537.802|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #312 ) recieveObject
170217 191537.803|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191537.803|INFO|Thread-9|dumpPacket|    To: TEAM26 @ site 1
170217 191537.803|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 191537.803|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE4 @ site 1 judgement No - Compilation Error-8590186452308396348 id JudgementRecord--5616584222484101431
170217 191537.803|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 JUDGED 3 min 232567ms from TEAM26 @ site 1 id Run-5361890250551848303 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191537.804|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #312 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191537.804|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #312 ) handlePacket
170217 191537.804|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191537.804|INFO|Thread-9|dumpPacket|    To: TEAM26 @ site 1
170217 191537.805|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 191537.806|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE4 @ site 1 judgement No - Compilation Error-8590186452308396348 id JudgementRecord--5616584222484101431
170217 191537.807|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 JUDGED 3 min 232567ms from TEAM26 @ site 1 id Run-5361890250551848303 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191538.841|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #312 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191539.288|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #308 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191704.720|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/桌面/pa.cpp
170217 191704.722|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 191704.722|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 191704.739|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #330 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191704.740|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #330 ) recieveObject
170217 191704.740|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191704.741|INFO|Thread-11|dumpPacket|    To: TEAM26 @ site 1
170217 191704.741|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 QUEUED_FOR_COMPUTER_JUDGEMENT 5 min 319999ms from TEAM26 @ site 1 id Run-4202053020911567998 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191704.741|INFO|Thread-11|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #330 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191704.742|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #330 ) handlePacket
170217 191704.742|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191704.743|INFO|Thread-11|dumpPacket|    To: TEAM26 @ site 1
170217 191704.743|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 QUEUED_FOR_COMPUTER_JUDGEMENT 5 min 319999ms from TEAM26 @ site 1 id Run-4202053020911567998 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191705.424|INFO|Thread-12|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #334 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191705.424|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #334 ) recieveObject
170217 191705.425|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191705.425|INFO|Thread-12|dumpPacket|    To: TEAM26 @ site 1
170217 191705.425|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 191705.425|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--5081699565526526792 id JudgementRecord-6065129694649800229
170217 191705.425|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 JUDGED 5 min 319999ms from TEAM26 @ site 1 id Run-4202053020911567998 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191705.426|INFO|Thread-12|info|handlePacket start Packet[RUN_JUDGEMENT] #334 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191705.426|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #334 ) handlePacket
170217 191705.426|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191705.426|INFO|Thread-12|dumpPacket|    To: TEAM26 @ site 1
170217 191705.426|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 191705.426|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--5081699565526526792 id JudgementRecord-6065129694649800229
170217 191705.426|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 JUDGED 5 min 319999ms from TEAM26 @ site 1 id Run-4202053020911567998 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191706.278|INFO|Thread-12|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #334 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191706.703|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #330 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191925.051|INFO|Thread-13|info| receiveObject(S) start got Packet[UPDATE_SETTING] #362 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191925.052|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #362 ) recieveObject
170217 191925.053|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191925.054|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
170217 191925.054|INFO|Thread-13|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
170217 191925.055|INFO|Thread-13|info|handlePacket start Packet[UPDATE_SETTING] #362 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191925.055|INFO|Thread-13|dumpPacket|Packet UPDATE_SETTING (Seq #362 ) handlePacket
170217 191925.056|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191925.056|INFO|Thread-13|dumpPacket|    To: SERVER0 @ site 0
170217 191925.056|INFO|Thread-13|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
170217 191925.057|INFO|Thread-13|info|handlePacket end Packet[UPDATE_SETTING] #362 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191925.057|INFO|Thread-13|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #362 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191940.980|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #370 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191940.981|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #370 ) recieveObject
170217 191940.981|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191940.982|INFO|Thread-14|dumpPacket|    To: TEAM26 @ site 1
170217 191940.982|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 191940.983|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE7 @ site 1 judgement No - Wrong Answer--5081699565526526792 id JudgementRecord-8850867467748087354
170217 191940.984|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 JUDGED 3 min 232567ms from TEAM26 @ site 1 id Run-5361890250551848303 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191940.984|INFO|Thread-14|info|handlePacket start Packet[RUN_JUDGEMENT] #370 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191940.985|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #370 ) handlePacket
170217 191940.985|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191940.986|INFO|Thread-14|dumpPacket|    To: TEAM26 @ site 1
170217 191940.986|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 191940.987|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE7 @ site 1 judgement No - Wrong Answer--5081699565526526792 id JudgementRecord-8850867467748087354
170217 191940.987|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 JUDGED 3 min 232567ms from TEAM26 @ site 1 id Run-5361890250551848303 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191942.839|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #370 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192145.121|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/桌面/pa.cpp
170217 192145.123|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 192145.123|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 192145.149|INFO|Thread-16|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #399 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192145.149|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #399 ) recieveObject
170217 192145.149|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 192145.149|INFO|Thread-16|dumpPacket|    To: TEAM26 @ site 1
170217 192145.149|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 16 QUEUED_FOR_COMPUTER_JUDGEMENT 10 min 600408ms from TEAM26 @ site 1 id Run--6518002699286966580 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 192145.149|INFO|Thread-16|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #399 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192145.149|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #399 ) handlePacket
170217 192145.150|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 192145.150|INFO|Thread-16|dumpPacket|    To: TEAM26 @ site 1
170217 192145.150|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 16 QUEUED_FOR_COMPUTER_JUDGEMENT 10 min 600408ms from TEAM26 @ site 1 id Run--6518002699286966580 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 192145.883|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #403 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192145.883|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #403 ) recieveObject
170217 192145.883|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 192145.883|INFO|Thread-17|dumpPacket|    To: TEAM26 @ site 1
170217 192145.884|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 192145.884|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--5081699565526526792 id JudgementRecord--2901933642200913668
170217 192145.884|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 16 JUDGED 10 min 600408ms from TEAM26 @ site 1 id Run--6518002699286966580 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 192145.884|INFO|Thread-17|info|handlePacket start Packet[RUN_JUDGEMENT] #403 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192145.884|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #403 ) handlePacket
170217 192145.885|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 192145.885|INFO|Thread-17|dumpPacket|    To: TEAM26 @ site 1
170217 192145.885|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170217 192145.885|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--5081699565526526792 id JudgementRecord--2901933642200913668
170217 192145.885|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 16 JUDGED 10 min 600408ms from TEAM26 @ site 1 id Run--6518002699286966580 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 192146.544|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #403 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192147.040|INFO|Thread-16|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #399 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192449.974|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/桌面/pa.cpp
170217 192449.975|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 192449.975|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 192449.995|INFO|Thread-19|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #417 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192449.995|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #417 ) recieveObject
170217 192449.995|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 192449.995|INFO|Thread-19|dumpPacket|    To: TEAM26 @ site 1
170217 192449.995|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 19 QUEUED_FOR_COMPUTER_JUDGEMENT 13 min 785258ms from TEAM26 @ site 1 id Run--7619503070368825564 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 192449.995|INFO|Thread-19|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #417 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 192449.996|INFO|Thread-19|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #417 ) handlePacket
